,VehPower,VehAge,DrivAge,BonusMalus,Density,Area,VehGas,VehBrand_B1,VehBrand_B10,VehBrand_B11,VehBrand_B12,VehBrand_B13,VehBrand_B14,VehBrand_B2,VehBrand_B3,VehBrand_B4,VehBrand_B5,VehBrand_B6,Region_R11,Region_R21,Region_R22,Region_R23,Region_R24,Region_R25,Region_R26,Region_R31,Region_R41,Region_R42,Region_R43,Region_R52,Region_R53,Region_R54,Region_R72,Region_R73,Region_R74,Region_R82,Region_R83,Region_R91,Region_R93,Region_R94
208,80186.4013215446,80186.34333609609,80186.11182968711,80186.07337754755,80185.96296697573,80185.69378697738,80185.4162731989,80185.24302377513,80185.18114440338,80185.12534400004,80184.91324665444,80184.87898234316,80184.8358119367,80184.73332429331,80184.67090280102,80184.59854498894,80184.53187561859,80184.3882627137,80184.27158120561,80184.23398972448,80184.19822798968,80184.1724556229,80184.01875272635,80183.99157900873,80183.98412084665,80183.87731705295,80183.80435140111,80183.74222807938,80183.70863485239,80183.65666070019,80183.59133900961,80183.5296658699,80183.45666249047,80183.41602467049,80183.36597081533,80183.27634759068,80183.25082155925,80183.15817736591,80183.02700013324,80182.97600019618
209,80182.83826004848,80182.75708364527,80182.46119822966,80182.15317320765,80182.13627283706,80181.94463218859,80181.81839153901,80181.688485447,80181.62250579422,80181.56578188975,80181.36988000447,80181.30280979835,80181.1762558417,80181.06391355475,80181.009391517,80180.9504940761,80180.89859622443,80180.7883594081,80180.69774385856,80180.67504826529,80180.63495361758,80180.6097367593,80180.16080490232,80180.10211907305,80180.08993726777,80180.0341337857,80179.93462815037,80179.88113384298,80179.83928068036,80179.77600648238,80179.6988561236,80179.57601813818,80179.43227959298,80179.39188644069,80179.3557597736,80179.27627158274,80179.25495510409,80179.15823425169,80179.00443904368,80178.98303978145
210,80178.32757570369,80177.94179527235,80177.69978163159,80177.64319596067,80177.48661438271,80177.27342052176,80177.07202867165,80176.90399740433,80176.83437170499,80176.75268640675,80176.54103323468,80176.45407918454,80176.42032722163,80176.32084275864,80176.19306000714,80176.12114247357,80176.07148512438,80175.99471575083,80175.89079993294,80175.84936705185,80175.79111314015,80175.76271369755,80175.5705457489,80175.54095968479,80175.494834395,80175.44180609894,80175.34656983428,80175.29525928988,80175.25695145261,80175.23526864566,80175.17682254479,80175.11368834329,80175.02828477765,80174.99319599423,80174.95655611607,80174.92155435929,80174.86095199686,80174.76545556916,80174.54494232082,80174.35318913712
211,80174.19287174419,80174.07633169681,80173.82709151585,80173.51931292188,80173.38521491618,80173.22129728778,80172.87300051397,80172.71812405274,80172.64169892253,80172.58119348434,80172.29800648958,80172.23593585857,80172.21241078552,80171.96252381371,80171.8516028703,80171.779089357,80171.71392938131,80171.65142175944,80171.40469828225,80171.36765447124,80171.33480753345,80171.28568170668,80170.72043454196,80170.65600615481,80170.6485694634,80170.57706242416,80170.51388674139,80170.44971587918,80170.43330519808,80170.40419428411,80170.32647181657,80170.21626566678,80170.14304080457,80170.10324747156,80170.05445809761,80169.95872129347,80169.90660026905,80169.81365146034,80169.69692121589,80169.65256762665
212,80169.51783032971,80169.17661772335,80168.93845046737,80168.89037655146,80168.74687296875,80168.56803109875,80168.37669784774,80168.09871930623,80168.06271828053,80168.01441192711,80167.76397573283,80167.72246882584,80167.69773268749,80167.3658848097,80167.2653197147,80167.2034774503,80167.15789440766,80166.99866416858,80166.91433772258,80166.87423166682,80166.85920813409,80166.8256083371,80166.57169863622,80166.52168327612,80166.48384169569,80166.38838950652,80166.33004378175,80166.28243087733,80166.2163957457,80166.18146227823,80165.98886564089,80165.93079028942,80165.84577483255,80165.80495051111,80165.74477854757,80165.67255495247,80165.62806179753,80165.5414655232,80165.4253657592,80165.40366354972
213,80165.21734303451,80165.15338651609,80164.91686481022,80164.87972796246,80164.79409682182,80164.59205479769,80164.32701305827,80164.10275430187,80164.02136396573,80163.93924769197,80163.77137320445,80163.71393093317,80163.6817091346,80163.5649730622,80163.50299359465,80163.44610646146,80163.36454132464,80163.30316716825,80163.207140402,80163.18081663689,80163.14733359993,80163.1227123265,80163.01285593104,80162.97969144737,80162.91289839783,80162.84918495169,80162.81524764674,80162.75472935587,80162.48304075134,80162.41996663772,80162.35131647435,80162.26482499488,80162.2121689915,80162.17767564594,80162.13907209095,80162.09272649931,80162.0620734402,80161.96804266995,80161.9004556744,80161.87239544909
214,80161.74062746708,80161.36579127744,80161.11036939314,80161.05591116019,80160.92171457394,80160.76770578217,80160.43425240584,80160.28818983465,80160.23231353663,80160.12091506229,80159.82540981719,80159.75746536787,80159.72190034625,80159.61754464921,80159.4804230318,80159.40997118695,80159.36053288073,80159.27884947893,80159.17444074823,80159.14110463971,80159.07812617921,80159.0541743093,80158.50604419352,80158.47301581221,80158.46577110895,80158.36619103723,80158.31488482593,80158.28690602019,80158.26984196351,80158.21899130986,80158.01042306937,80157.913415549,80157.8569318648,80157.66196707741,80157.61455743822,80157.53037751178,80157.4701963454,80157.37741857767,80157.16246438032,80157.12668789827
215,80156.48802829451,80156.39453064546,80156.21671263594,80156.16195817637,80156.13403524164,80155.9494474704,80155.80424903972,80155.65768179533,80155.5798185589,80155.54909831083,80155.30054997167,80155.2471725585,80155.20458222242,80155.11090603963,80154.94312363198,80154.89321743797,80154.83429761164,80154.72628442594,80154.66136110957,80154.62512750817,80154.586806718,80154.55980560309,80154.26714295865,80154.21381395748,80154.20664534306,80154.1537661748,80154.10674553452,80154.03961116464,80153.99636297216,80153.85423558546,80153.78415465177,80153.72448769046,80153.66429380351,80153.61408059503,80153.54064544357,80153.46505252317,80153.44301876274,80153.25157383482,80153.06263204705,80152.97402843603
216,80152.31404121265,80151.96656966969,80151.73008151044,80151.69371517858,80151.57258929839,80151.43791078782,80151.25223607202,80151.08864748733,80150.9785208215,80150.90742919515,80150.71267961885,80150.64544663258,80150.62076810288,80150.4901381305,80150.44580834996,80150.38921490056,80150.32561976793,80150.24637049454,80150.1734081897,80150.13742180428,80150.0981209876,80150.07429318412,80149.95780222547,80149.90067004881,80149.87041042795,80149.8223093303,80149.7499038905,80149.72217936857,80149.6824531008,80149.62651360057,80149.55972750267,80149.4987863843,80149.40144983947,80149.35647469523,80149.31512763008,80149.23453454248,80149.18539182903,80149.08625096886,80149.00506945871,80148.98399047364
217,80148.64604189852,80148.57874031176,80148.33942185825,80148.04373914293,80147.9505823422,80147.7218802748,80147.38937464796,80147.03362967866,80146.94601870465,80146.8845573062,80146.71730760846,80146.62786219342,80146.60489640592,80146.48551309586,80146.42565926083,80146.2398055802,80146.17515229223,80146.03658218819,80145.9236053777,80145.8983478796,80145.8632526263,80145.8276571981,80145.6418353756,80145.6122826312,80145.58236769025,80145.5405529216,80145.48026341698,80145.4121797164,80145.36456193097,80145.3043785548,80145.24584706043,80145.20206870325,80145.10826750836,80145.02154818372,80144.98252445675,80144.89831179046,80144.85477341799,80144.7689142671,80144.56707132785,80144.51777751608
